steps,reward,latency,bandwidth
11503,-1.712,0.614,0.35206481
11507,1.396,0.556,0.35206481
11510,0.307,0.553,0.01936618
11518,-0.576,0.799,0.02606726
11521,1.362,0.372,0.16731505
11541,-3.087,1.874,0.01936618
11544,1.257,0.338,0.11488941
11563,-3.746,2.582,0.1341009
11572,-1.251,1.447,0.14478646
11574,1.078,0.142,0.82091068
11588,-3.302,1.401,0.04316252
11604,-4.69,2.598,0.05767309
11611,0.426,0.764,0.04316252
11614,0.224,0.528,0.18957809
11622,-0.397,1.007,0.06793869
11631,-1.571,0.956,0.04316252
11635,1.303,0.5,0.16731505
11639,1.289,0.505,0.1341009
11642,1.313,0.329,0.04316252
11652,-3.559,1.363,0.14181017
11656,1.398,0.424,0.05767309
11662,0.377,0.478,0.11262371
11672,-1.444,1.045,0.16731505
11679,1.438,0.58,0.26176816
11684,1.394,0.795,0.14181017
11694,-1.295,1.269,0.14478646
11699,-0.827,0.528,0.33628948
11705,-0.437,0.978,0.11488941
11709,0.271,0.966,0.14181017
11719,-1.592,1.226,0.14181017
11721,1.026,0.401,0.18957809
11747,-8.142,4.113,0.14181017
11763,-3.704,2.886,0.14181017
11765,1.226,0.356,0.14181017
11773,-0.772,0.712,0.22252502
11776,1.27,0.329,0.20582358
11782,0.375,0.904,0.04316252
11788,0.579,1.152,0.14181017
11793,0.299,0.548,0.28737835
11805,-2.478,0.917,0.01936618
11818,-2.291,1.465,0.16731505
11826,-0.713,0.709,0.19993387
11837,-2.579,1.145,0.01936618
11838,1.01,0.267,0.92304744
11845,0.321,0.791,0.04316252
11858,-3.457,1.259,0.1292017
11862,1.148,0.507,0.04316252
11874,-3.352,1.569,0.11488941
11883,-0.394,0.929,0.11488941
11887,0.166,0.275,0.52516486
11911,-10.689,1.215,0.14181017
11919,-1.422,1.176,0.18957809
11932,-2.259,1.302,0.18957809
11934,1.089,0.222,0.16731505
11942,-0.351,1.51,0.1341009
11952,-0.646,1.012,0.02606726
11975,-5.823,2.789,0.01936618
11982,-0.611,0.728,0.18957809
11983,1.01,0.06,0.28737835
11989,-0.552,1.085,0.14181017
11990,1.01,0.104,0.70734803
12021,-12.009,2.503,0.11262371
12023,1.063,0.095,0.2659298
12038,-5.419,1.347,0.04316252
12048,-1.513,0.934,0.24058643
12051,1.137,0.358,0.05767309
12052,1.01,0.091,0.01936618
12070,-6.037,2.168,0.11262371
12074,1.235,0.335,0.4100498
12083,-1.52,0.973,0.4100498
12087,1.37,0.399,0.4100498
12096,-1.794,1.294,0.03211208
12099,1.153,0.234,0.11488941
12102,1.052,0.232,0.28737835
12108,0.303,0.398,0.06793869
12112,1.423,0.523,0.11441689
12123,-2.617,0.859,0.08052643
12129,-0.696,0.577,0.11262371
12143,-3.225,2.002,0.01936618
12152,-2.447,1.156,0.14181017
12156,0.148,0.306,0.2659298
12158,1.052,0.143,0.25033968
12162,1.371,0.464,0.16731505
12165,1.175,0.232,0.02606726
12176,-1.647,0.843,0.02606726
12181,0.214,0.262,0.1709423
12184,1.177,0.245,0.11488941
12192,-0.637,0.514,0.08052643
12203,-0.453,1.108,0.25033968
12211,-0.646,0.739,0.11262371
12216,0.062,0.351,0.01936618
12227,-2.339,1.604,0.02606726
12231,1.247,0.468,0.05767309
12236,0.337,0.51,0.24058643
12269,-12.259,3.61,0.03211208
12272,1.151,0.183,0.2659298
12285,-3.423,1.289,0.25082545
12295,-0.641,0.683,0.02606726
12304,-0.329,1.454,0.28737835
12311,-0.447,1.437,0.14181017
12316,0.283,0.478,0.70734803
12332,-3.946,2.06,0.14920605
12335,1.364,0.468,0.14478646
12339,1.235,0.261,0.4100498
12345,0.258,0.402,0.08052643
12370,-6.924,2.188,0.1292017
12372,1.086,0.166,0.11488941
12375,0.13,0.351,0.24058643
12385,-1.39,1.275,0.08052643
12401,-4.214,2.031,0.11488941
12404,1.36,0.364,0.08052643
12412,-0.832,0.564,0.08052643
12424,-2.469,0.915,0.11488941
12429,-0.83,0.477,0.24058643
12434,0.318,0.573,0.05767309
12436,1.101,0.104,0.01936618
12442,0.262,0.406,0.01936618
12443,1.01,0.103,0.50464297
12453,-2.62,0.729,0.1292017
12463,-0.352,1.227,0.08052643
12467,0.352,0.464,0.25082545
12470,1.323,0.539,0.14478646
12476,1.488,0.699,0.11488941
12480,0.248,0.604,0.66602862
12491,-2.146,1.605,0.06793869
12494,1.166,0.277,0.50464297
12497,1.153,0.234,0.11488941
12514,-4.994,2.501,0.03211208
12518,0.224,0.409,0.50133923
